,PLAYER_NAME,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,pct_of_FGA_twos,pct_of_FGA_threes,two_pt_fg_pct,three_pt_fg_pct,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_PASSES,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG3M,PULL_UP_FG3A,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF
0,Julius Randle (20-21),26.0,NYK,PF,71.0,71.0,2667.0,11.3,24.8,0.456,3.0,7.3,0.411,8.3,17.5,0.474,0.516,6.5,8.0,0.811,1.6,12.0,13.6,8.0,1.2,0.3,4.5,4.2,32.1,111.0,107.0,19.7,0.567,0.294,0.325,3.5,25.7,14.7,27.2,1.2,0.6,13.8,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9,0.706,0.294,0.474,0.411,748.0,135.0,282.0,349.0,134.0,317.0,113.0,271.0,5936.0,3434.0,332.8,238.0,573.0,44.0,110.0,188.0,105.2,82.8
1,RJ Barrett (20-21),20.0,NYK,SG,72.0,72.0,2511.0,9.3,21.1,0.441,2.5,6.2,0.401,6.8,15.0,0.457,0.499,4.1,5.5,0.746,1.4,6.9,8.2,4.3,1.1,0.4,2.8,3.7,25.2,106.0,110.0,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.9,3.1,4.1,0.078,-0.9,-0.3,-1.2,0.5,0.708,0.292,0.457,0.401,851.0,176.0,417.0,294.0,120.0,300.0,118.0,288.0,3414.0,2490.0,193.4,64.0,192.0,6.0,20.0,192.3,104.3,88.1
2,Nikola Jokić (20-21),25.0,DEN,C,72.0,72.0,2488.0,14.5,25.7,0.566,1.8,4.7,0.388,12.7,21.0,0.606,0.602,6.8,7.8,0.868,4.1,11.4,15.5,11.9,1.9,1.0,4.4,3.8,37.7,130.0,109.0,31.3,0.647,0.183,0.305,9.4,26.1,17.8,40.4,1.9,1.9,13.1,29.6,12.2,3.4,15.6,0.301,9.1,3.0,12.1,8.8,0.817,0.183,0.606,0.388,329.0,93.0,164.0,94.0,142.0,314.0,85.0,214.0,7269.0,4173.0,333.0,71.0,152.0,6.0,16.0,169.7,92.8,76.9
3,Buddy Hield (20-21),28.0,SAC,SG,71.0,71.0,2433.0,8.0,19.6,0.406,5.6,14.2,0.391,2.4,5.3,0.446,0.548,1.7,2.1,0.846,0.6,6.0,6.6,5.1,1.2,0.6,2.6,3.5,23.2,109.0,119.0,12.8,0.567,0.727,0.105,1.3,14.1,7.6,14.7,1.2,1.0,11.1,20.7,1.5,0.7,2.2,0.044,1.0,-1.6,-0.6,0.9,0.273,0.727,0.446,0.391,342.0,52.0,119.0,180.0,177.0,453.0,177.0,447.0,3872.0,2298.0,175.8,159.0,403.0,104.0,271.0,182.2,97.0,85.2
4,Damian Lillard (20-21),30.0,POR,PG,67.0,67.0,2398.0,12.2,27.1,0.451,5.6,14.3,0.391,6.7,12.8,0.519,0.554,9.1,9.8,0.928,0.7,5.1,5.8,10.3,1.3,0.3,4.1,2.1,39.2,125.0,118.0,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5.0,0.472,0.528,0.519,0.391,911.0,199.0,384.0,333.0,74.0,161.0,69.0,152.0,5449.0,1752.0,559.2,280.0,728.0,201.0,542.0,164.9,93.6,71.2
5,Terry Rozier (20-21),26.0,CHO,SG,69.0,69.0,2383.0,10.5,23.2,0.45,4.5,11.7,0.389,5.9,11.5,0.512,0.548,3.4,4.1,0.817,1.0,5.2,6.2,6.0,1.8,0.5,2.6,2.4,28.8,113.0,114.0,17.1,0.575,0.504,0.178,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,3.3,2.0,5.2,0.105,2.2,-0.5,1.6,2.2,0.496,0.504,0.512,0.389,713.0,161.0,315.0,311.0,166.0,386.0,162.0,374.0,4525.0,2538.0,255.1,162.0,391.0,59.0,191.0,183.0,96.9,86.1
6,Russell Westbrook (20-21),32.0,WAS,PG,65.0,65.0,2369.0,10.6,24.1,0.439,1.7,5.3,0.315,8.9,18.8,0.475,0.474,5.3,8.0,0.656,2.1,12.5,14.6,14.9,1.7,0.4,6.1,3.7,28.1,105.0,110.0,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,0.5,3.2,3.7,0.075,2.6,1.1,3.7,3.4,0.779,0.221,0.475,0.315,1156.0,159.0,356.0,583.0,48.0,138.0,47.0,132.0,6192.0,1948.0,549.6,195.0,527.0,36.0,127.0,167.0,90.6,76.3
7,Andrew Wiggins (20-21),25.0,GSW,PF,71.0,71.0,2364.0,10.0,21.0,0.477,2.8,7.3,0.38,7.3,13.7,0.529,0.543,3.4,4.7,0.714,1.6,5.3,6.9,3.3,1.3,1.4,2.5,3.2,26.2,107.0,111.0,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,0.0,-0.4,-0.4,1.0,0.652,0.348,0.529,0.38,571.0,130.0,254.0,206.0,103.0,266.0,100.0,260.0,3405.0,2353.0,169.8,128.0,331.0,36.0,92.0,173.2,91.0,82.3
8,Mikal Bridges (20-21),24.0,PHO,SF,72.0,72.0,2348.0,7.6,14.1,0.543,2.8,6.6,0.425,4.8,7.4,0.647,0.643,2.3,2.8,0.84,1.6,4.9,6.5,3.2,1.6,1.3,1.2,2.4,20.4,131.0,112.0,16.4,0.667,0.471,0.196,3.7,11.1,7.5,8.8,1.6,2.4,7.3,14.9,5.4,2.6,8.0,0.164,2.4,0.9,3.3,3.1,0.529,0.471,0.647,0.425,253.0,53.0,109.0,114.0,126.0,308.0,120.0,296.0,2581.0,1627.0,72.0,48.0,93.0,9.0,14.0,180.3,94.4,85.9
9,Nikola Vučević (20-21),30.0,2TM,C,70.0,70.0,2348.0,13.8,28.9,0.477,3.6,9.1,0.4,10.1,19.8,0.513,0.54,2.7,3.2,0.84,3.0,13.9,16.9,5.6,1.3,1.0,2.6,2.8,33.9,112.0,110.0,22.9,0.56,0.315,0.112,6.5,30.9,18.5,21.3,1.3,1.8,7.9,29.3,3.3,3.0,6.3,0.129,4.9,0.4,5.3,4.4,0.685,0.315,0.513,0.4,220.0,62.0,111.0,70.0,286.0,676.0,175.0,439.0,5412.0,3533.0,160.0,70.0,177.0,1.0,1.0,158.4,85.3,73.1
